"","year","month","day","hour","generation.biomass","generation.fossil.brown.coal.lignite","generation.fossil.gas","generation.fossil.hard.coal","generation.fossil.oil","generation.hydro.pumped.storage.consumption","generation.hydro.run.of.river.and.poundage","generation.hydro.water.reservoir","generation.nuclear","generation.other","generation.other.renewable","generation.solar","generation.waste","generation.wind.onshore","total.load.actual","price.actual"
"60","2015","01","03",12,431,0,3622,1569,250,325,1424,4429,7093,76,71,2488,202,7874,26959,68.77
"61","2015","01","03",13,425,0,3138,1379,247,409,1417,4309,7094,76,64,3218,202,8192,26716,68.82
"62","2015","01","03",14,427,0,3113,1193,249,1095,1390,3784,7095,76,64,3695,208,8718,26802,68.23
"63","2015","01","03",15,421,0,3114,1155,248,1750,1285,3709,7093,77,64,3780,210,9152,26416,67.97
"64","2015","01","03",16,410,0,2982,1137,206,2141,1277,3320,7092,76,62,3370,202,9382,25362,62.76
"65","2015","01","03",17,397,0,2987,1205,190,2175,1279,3919,7092,76,61,2692,200,9307,24770,62.03
"66","2015","01","03",18,393,0,3169,1289,190,1936,1302,4256,7095,77,59,1931,201,8892,24501,66.69
"67","2015","01","03",19,418,0,3221,1399,218,1271,1478,4812,7094,78,62,1015,212,8568,24992,71.5
"68","2015","01","03",20,458,0,3033,1539,243,129,1544,5753,7094,79,66,502,222,9005,27964,72.14
"69","2015","01","03",21,462,0,3136,1555,244,0,1583,5946,7096,81,67,355,221,9672,29694,72.45
"70","2015","01","03",22,462,0,3061,1507,245,0,1572,5985,7095,82,69,291,221,10081,29874,72.86
"71","2015","01","03",23,463,0,3224,1441,247,117,1546,5519,7094,82,71,207,219,10537,28979,70.1
"72","2015","01","03",24,456,0,3529,1291,248,587,1502,4505,7094,83,70,117,217,10953,26863,67.62
"73","2015","01","04",1,391,0,3981,2559,323,1045,1502,1991,7086,81,58,692,162,8540,25254,55.22
"74","2015","01","04",2,351,0,3997,2755,310,1257,1494,1867,7087,81,58,684,160,8080,23620,50.54
"75","2015","01","04",3,350,0,3787,2678,306,1629,1484,1414,7086,81,57,648,161,7773,22606,48.68
"76","2015","01","04",4,366,0,3724,2426,311,1962,1472,1355,7086,82,56,640,162,7601,22191,48.02
"77","2015","01","04",5,377,0,3578,2046,310,2185,1438,1431,7087,82,56,563,161,7584,21929,47.06
"78","2015","01","04",6,372,0,3676,2248,310,1795,1457,1534,7086,82,58,372,157,7812,22195,46.79
"79","2015","01","04",7,377,0,3702,2148,320,1341,1352,2284,7085,82,54,179,155,7950,24035,47.63
"80","2015","01","04",8,396,0,3569,2100,325,378,1433,3188,7086,82,56,129,156,8228,26807,47.44
"81","2015","01","04",9,415,0,3314,2143,359,0,1561,3521,7080,83,53,357,156,8341,28316,50.84
"82","2015","01","04",10,418,0,3183,2244,368,0,1573,4286,7080,84,54,1634,159,8569,29871,54.84
"83","2015","01","04",11,402,0,3168,2209,370,17,1451,3921,7079,85,55,3830,162,8433,30585,59.95
"84","2015","01","04",12,411,0,3207,2303,371,119,1519,4023,7083,84,60,4937,161,8001,30772,59.35
"85","2015","01","04",13,403,0,3279,2307,371,72,1533,3997,7085,85,57,5302,165,7520,30685,57.03
"86","2015","01","04",14,407,0,3295,2353,362,69,1591,3760,7087,86,58,5590,158,7274,30429,59.22
"87","2015","01","04",15,393,0,3141,2324,369,69,1529,3077,7085,85,60,5668,150,6878,28741,58.56
"88","2015","01","04",16,400,0,3118,2164,365,69,1495,2602,7083,85,59,5593,149,7517,28249,52.07
"89","2015","01","04",17,397,0,3131,2049,374,112,1459,2553,7080,85,57,5316,147,7999,28105,52.15
"90","2015","01","04",18,393,0,3303,2104,383,251,1435,2925,7079,87,59,4907,152,8181,27908,61.12
"91","2015","01","04",19,402,0,3368,2098,381,506,1435,3446,7078,84,61,4200,153,8260,27577,71.98
"92","2015","01","04",20,409,0,3434,2075,383,789,1458,4365,7080,84,59,2911,150,8156,27418,74.64
"93","2015","01","04",21,438,0,3604,2162,385,416,1538,5936,7082,85,59,1392,170,8347,28604,75.38
"94","2015","01","04",22,436,0,3874,2445,389,0,1616,5856,7084,85,57,748,177,8875,30346,76.49
"95","2015","01","04",23,424,0,3447,2169,394,0,1594,4684,7085,85,59,696,174,8922,28190,73.83
"96","2015","01","04",24,403,0,3390,1770,391,79,1467,3776,7088,84,59,672,166,8735,26270,69.51
"97","2015","01","05",1,373,326,5338,4247,352,650,1182,2086,4036,41,72,691,158,7351,25069,70.77
"98","2015","01","05",2,363,104,5352,3112,310,938,1099,2458,4029,41,74,668,153,7403,23390,64.89
"99","2015","01","05",3,359,0,4791,2580,311,1021,1076,2140,4028,38,75,662,156,7887,21988,60.91
"100","2015","01","05",4,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,21182,59.68
"101","2015","01","05",5,334,0,4390,2573,308,2067,982,2531,4030,38,71,570,155,8348,20778,58.04
"102","2015","01","05",6,338,0,4108,2551,300,2228,969,2439,4031,38,72,428,153,8526,20309,59.57
"103","2015","01","05",7,341,0,4396,2351,291,2365,967,2583,4031,38,73,243,152,8518,20252,69.73
"104","2015","01","05",8,343,0,4227,2202,301,2321,1087,2740,4031,39,74,155,143,8263,19964,72.97
"105","2015","01","05",9,345,0,4017,2138,317,2071,1110,2480,4030,38,74,500,143,8326,20796,77.92
"106","2015","01","05",10,369,0,4243,2239,331,1465,1168,2575,4028,38,76,1333,140,8046,22478,79.59
"107","2015","01","05",11,374,0,3993,2545,337,1216,1207,2286,4011,37,74,2482,140,8439,23834,81.75
"108","2015","01","05",12,376,0,3900,2422,333,1166,1206,2209,3829,37,74,3339,155,9131,24429,80.82
"109","2015","01","05",13,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,79.14
"110","2015","01","05",14,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,73.95
"111","2015","01","05",15,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,71.93
"112","2015","01","05",16,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,71.5
"113","2015","01","05",17,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,71.85
"114","2015","01","05",18,383.513539734627,448.059207898191,5622.73748787308,4256.06574216744,298.319788842916,475.577343415608,972.116107861321,2605.11473491982,6263.9070391189,60.2285852879073,85.6397021058038,1432.66592478457,269.452132971893,5464.47976944587,28696.9399052187,80.53
"115","2015","01","05",19,370,0,4003,2217,336,1242,1219,2156,3712,42,71,2944,148,7431,21888,89.08
"116","2015","01","05",20,375,0,4181,2541,333,651,1260,1843,3743,42,75,1971,147,6570,22048,90.97
"117","2015","01","05",21,371,0,4607,2509,334,108,1308,2291,3773,43,73,958,153,5549,22858,88.51
"118","2015","01","05",22,370,0,5329,2804,326,0,1328,3732,3803,42,74,605,161,4979,25604,82.85
"119","2015","01","05",23,362,0,5682,2891,334,45,1328,3613,3834,43,75,518,161,4822,25381,80.52
"120","2015","01","05",24,370,0,5699,2958,328,193,1318,3044,3868,45,72,394,158,4982,23822,72.18
"121","2015","01","06",1,535,851,4359,5130,257,99,767,1218,4826,85,66,626,212,4052,23711,71.48
"122","2015","01","06",2,532,742,4502,4990,258,693,737,1620,4828,85,63,624,208,3832,22354,64.76
"123","2015","01","06",3,530,829,4393,5207,266,1000,728,1862,4830,86,63,616,204,3398,21546,60.22
"124","2015","01","06",4,532,784,4386,5418,262,1053,727,1834,4846,85,65,582,206,3003,21171,57.14
"125","2015","01","06",5,541,802,4453,5497,266,1052,727,1758,4895,85,66,576,206,2569,21042,53.94
"126","2015","01","06",6,545,856,4589,5753,263,1016,720,1793,4903,85,64,499,204,2380,21618,53.43
"127","2015","01","06",7,540,904,4818,6154,257,323,720,1435,4911,85,63,415,202,2196,23433,56.68
"128","2015","01","06",8,546,937,4862,6527,283,17,779,2369,4924,85,63,412,184,1701,25885,63.49
"129","2015","01","06",9,546,959,5143,6774,343,0,842,3860,4930,86,63,1168,196,1102,28456,66.75
"130","2015","01","06",10,544,980,4842,6973,368,0,852,4119,4942,83,64,3018,262,682,29708,73.07
"131","2015","01","06",11,543,978,4604,7101,361,0,895,4449,4952,87,64,4129,268,470,30887,78.95
"132","2015","01","06",12,539,977,4475,7198,351,0,899,4584,4950,87,63,4642,260,472,31409,75.91
"133","2015","01","06",13,547,974,4376,7215,349,0,898,4579,4956,84,62,4976,259,683,31947,73.12
"134","2015","01","06",14,538,969,4512,7210,356,0,901,4335,4959,86,61,5044,260,1041,32078,68.02
"135","2015","01","06",15,534,962,4178,7159,365,0,857,4167,4953,85,68,4887,258,1652,31193,66.67
"136","2015","01","06",16,537,965,4035,7067,366,0,813,3084,4956,86,69,4641,254,2761,30542,65.08
"137","2015","01","06",17,537,887,3821,6830,364,95,825,3290,4955,88,66,4279,251,3277,30591,66.1
"138","2015","01","06",18,532,947,4059,6873,362,5,823,3454,4799,88,69,3824,252,3281,30799,72
"139","2015","01","06",19,533,976,4472,7100,356,0,820,3349,4186,88,69,3132,267,3781,30481,78.6
"140","2015","01","06",20,528,967,4553,7172,351,0,806,3119,4368,87,69,2383,254,3943,30147,81.18
"141","2015","01","06",21,536,968,4490,7194,365,0,836,3009,4657,87,71,1586,229,4028,30120,81.65
"142","2015","01","06",22,535,980,4664,7264,364,0,937,3921,4878,87,70,891,230,3661,30747,78.63
"143","2015","01","06",23,531,970,4684,7279,360,0,884,3834,4961,87,72,696,231,3485,29978,73.2
"144","2015","01","06",24,528,922,4728,7227,352,0,863,2778,4959,86,72,669,232,3276,27421,72.46
"145","2015","01","07",1,499,885,4659,7996,371,0,728,1982,6000,89,55,1280,219,6210,30518,67.24
"146","2015","01","07",2,502,909,4199,7838,370,137,704,1483,5995,87,55,1253,213,5993,28484,64.17
"147","2015","01","07",3,491,905,4448,8048,368,482,704,1003,5997,87,55,1231,217,5529,27026,62.12
"148","2015","01","07",4,495,875,4157,7837,360,747,692,626,5998,87,56,1223,220,5127,26248,62.11
"149","2015","01","07",5,503,912,4001,7827,360,845,689,563,6003,87,55,1189,219,4940,25838,60.05
"150","2015","01","07",6,505,918,4219,7910,360,700,687,610,6005,88,57,1142,220,4735,26021,62.48
"151","2015","01","07",7,506,930,4338,7856,364,209,706,1363,6003,87,54,1043,220,4266,26992,70.01
"152","2015","01","07",8,505,938,4954,7855,374,0,761,2280,6000,87,55,979,217,3849,28625,75.2
"153","2015","01","07",9,510,960,5447,7982,378,0,780,3192,5997,87,55,1336,219,3369,31015,83.3
"154","2015","01","07",10,501,960,5881,7991,381,0,788,4420,5996,84,54,2121,220,2959,33276,93.14
"155","2015","01","07",11,494,955,6076,7979,364,0,753,3674,5989,88,51,2841,220,3226,34221,100.45
"156","2015","01","07",12,498,937,5726,7982,367,0,754,3289,5974,88,51,3556,219,4273,34796,95.17
"157","2015","01","07",13,491,958,5583,8005,362,0,762,3131,5971,89,52,3756,214,5914,35535,85.23
"158","2015","01","07",14,495,936,5637,7975,367,0,751,2709,5969,88,50,3639,215,7320,35752,81.5
"159","2015","01","07",15,501,940,5684,7839,369,0,733,1912,5964,87,53,4133,215,7837,35605,77.29
"160","2015","01","07",16,498,925,6098,7782,367,0,721,1479,5961,86,51,4896,214,7890,36020,76.61
"161","2015","01","07",17,491,957,6242,7807,367,0,713,1191,5956,86,52,4647,217,7996,36066,77.15
"162","2015","01","07",18,495,954,6056,7866,368,0,709,1458,5969,84,52,4184,217,7955,36195,79.51
"163","2015","01","07",19,497,879,5839,8058,364,0,707,1965,5978,84,52,3631,215,7582,35739,91.05
"164","2015","01","07",20,483,914,6477,8129,371,0,711,2384,5986,85,51,2772,215,6821,35188,95.29
"165","2015","01","07",21,482,968,6316,8163,354,0,736,2566,5981,86,52,2013,222,6198,34470,91.25
"166","2015","01","07",22,481,902,5881,8002,386,0,735,2622,5985,86,53,1193,226,6139,33716,87.08
"167","2015","01","07",23,481,915,5785,7853,384,6,721,2412,5984,87,52,636,220,6398,32697,78.15
"168","2015","01","07",24,479,841,5519,7601,381,137,677,1414,5987,87,52,573,215,6262,30477,75.07
"169","2015","01","08",1,546,571,4178,7280,383,398,658,831,6741,84,67,433,260,5908,26788,73.73
"170","2015","01","08",2,516,566,3912,6774,370,392,628,942,6741,85,67,391,257,5509,25146,70.99
"171","2015","01","08",3,508,455,3718,6349,372,956,631,882,6742,85,67,352,256,5204,23889,68.3
"172","2015","01","08",4,509,369,3768,6078,373,1088,634,934,6743,86,65,328,251,4891,23046,64.22
"173","2015","01","08",5,518,367,3707,5984,373,1027,636,799,6744,86,67,327,251,4738,22587,63.53
"174","2015","01","08",6,528,351,3706,5817,361,1348,631,781,6748,86,66,320,249,4868,22361,66.7
"175","2015","01","08",7,533,367,3946,5785,354,1804,631,943,6750,86,67,265,246,4809,22551,69.79
"176","2015","01","08",8,525,360,3890,5570,347,1638,629,888,6748,86,66,223,246,4849,22543,75.57
"177","2015","01","08",9,529,457,4066,6289,332,508,641,1147,6747,86,69,708,216,4285,24042,82.36
"178","2015","01","08",10,534,576,4535,6720,305,198,652,965,6749,85,66,2225,214,3889,25932,87.03
"179","2015","01","08",11,533,622,4441,7301,315,104,664,1153,6749,84,67,3943,226,3330,27664,91.08
"180","2015","01","08",12,531,629,4513,7468,315,0,689,1333,6744,85,66,4514,232,2911,28448,89.29
"181","2015","01","08",13,522,631,4654,7503,311,6,717,1795,6741,84,68,4926,254,2376,28881,85.45
"182","2015","01","08",14,509,635,4760,7551,311,27,715,2275,6739,83,69,5067,237,1917,29329,80.33
"183","2015","01","08",15,504,637,4591,7542,269,32,717,2198,6732,84,69,5092,234,1741,29026,77.33
"184","2015","01","08",16,506,636,4964,7517,263,10,694,1776,6730,84,66,5019,232,1680,28237,77.03
"185","2015","01","08",17,500,636,5046,7462,259,0,667,1445,6729,83,67,4803,225,1774,27868,78.15
"186","2015","01","08",18,502,628,4899,7437,258,0,654,1478,6728,83,67,4507,223,2001,27654,80.48
"187","2015","01","08",19,514,582,4677,7345,258,0,640,1236,6717,83,69,4010,228,2574,27507,90.87
"188","2015","01","08",20,513,625,4606,7419,270,0,645,1435,6727,82,69,3321,227,3022,27544,94.11
"189","2015","01","08",21,511,571,4805,7224,295,84,683,2430,6736,82,68,2089,224,3312,27578,90.26
"190","2015","01","08",22,516,599,4932,7191,301,81,722,3302,6748,82,67,957,223,3478,28222,84.66
"191","2015","01","08",23,519,625,5136,7012,301,4,706,3461,6762,83,70,721,219,3726,28221,77.05
"192","2015","01","08",24,515,620,5209,6549,302,0,669,2426,6760,83,67,691,231,3968,26436,73.14
"193","2015","01","09",1,489,920,5410,7695,314,0,574,1930,6846,86,66,39,273,3552,27485,67.7
"194","2015","01","09",2,483,928,4445,7691,301,62,553,1819,6852,86,68,38,231,3334,25750,61.05
"195","2015","01","09",3,485,833,4287,7435,297,167,544,1347,6854,85,67,37,227,3486,24760,59.61
"196","2015","01","09",4,477,935,4223,7544,296,557,548,943,6855,86,67,37,224,3492,24188,58.65
"197","2015","01","09",5,480,937,4178,7375,298,734,548,655,6858,86,66,36,227,3541,23840,58.4
"198","2015","01","09",6,482,935,4283,7442,288,753,558,682,6862,86,66,41,226,3603,24030,59.77
"199","2015","01","09",7,477,894,4444,7465,299,468,559,1561,6861,86,66,45,234,3952,25965,68.38
"200","2015","01","09",8,477,920,5068,7674,299,297,555,1801,6864,85,67,58,239,4209,28266,75.5
"201","2015","01","09",9,495,910,5684,7654,333,43,589,1932,6866,85,67,317,244,4171,29981,81.67
"202","2015","01","09",10,493,956,6295,7801,348,0,645,2736,6866,84,67,1107,245,3873,31932,85.8
"203","2015","01","09",11,490,955,6674,7866,352,0,672,3238,6863,84,68,2133,248,3865,33325,92
"204","2015","01","09",12,490,892,6918,7645,353,0,656,2941,6860,83,69,3193,250,3802,34144,89.66
"205","2015","01","09",13,487,889,6848,7610,360,0,658,2898,6855,83,66,3932,250,3676,35040,85.5
"206","2015","01","09",14,492,942,6954,7710,364,0,645,3092,6853,82,68,4156,250,3620,35524,81.22
"207","2015","01","09",15,490,918,7022,7738,374,0,622,2380,6855,82,70,4285,243,3774,34579,77.08
"208","2015","01","09",16,486,845,6520,7777,366,1,617,2283,6857,82,72,4135,242,4045,33792,77.33
"209","2015","01","09",17,480,882,6377,7817,372,0,612,2083,6855,82,70,3883,238,4345,33768,80.09
"210","2015","01","09",18,487,856,6247,7645,386,4,610,1983,6858,82,71,3513,242,4914,33696,81.64
"211","2015","01","09",19,481,732,6189,7179,390,167,613,1629,6858,82,69,3253,263,5564,33154,88.51
"212","2015","01","09",20,470,733,5975,6873,391,433,645,1789,6860,82,72,2403,281,5966,32440,89
"213","2015","01","09",21,468,663,6141,6633,397,183,666,2676,6862,82,72,1060,279,5879,32384,87.11
"214","2015","01","09",22,476,788,6476,7175,388,50,663,3161,6862,82,71,530,278,5861,33976,82.13
"215","2015","01","09",23,477,860,5953,7443,395,1,651,2007,6867,82,73,444,277,5431,31420,78.39
"216","2015","01","09",24,477,885,5207,7447,384,0,613,1037,6849,82,72,386,274,5147,28825,72.17
"217","2015","01","10",1,537,930,5151,7380,412,321,453,2092,6012,88,71,384,230,996,24899,61.8
"218","2015","01","10",2,537,934,5181,7378,399,391,448,1522,6014,88,72,167,227,897,23505,59.46
"219","2015","01","10",3,544,918,4917,7369,389,472,437,787,6014,88,69,102,221,934,22589,55.97
"220","2015","01","10",4,553,873,4496,7318,386,488,432,696,6014,88,69,103,226,933,22177,55.03
"221","2015","01","10",5,559,902,4488,7337,385,660,429,617,6014,87,68,102,238,898,22025,54.53
"222","2015","01","10",6,564,930,4645,7357,371,490,439,746,6014,87,66,102,244,826,22426,55.44
"223","2015","01","10",7,561,888,5093,7242,386,150,444,1643,6013,87,67,102,254,890,24361,57.22
"224","2015","01","10",8,559,884,5641,7236,401,0,446,3923,6010,88,66,103,264,998,27890,63.84
"225","2015","01","10",9,566,906,6096,7260,423,0,452,4236,6010,88,68,233,265,1183,29335,71.4
"226","2015","01","10",10,564,911,5896,7419,431,0,485,4410,6005,87,68,1209,257,1214,29951,74.51
"227","2015","01","10",11,563,816,5695,7347,436,0,493,4438,6004,85,66,2927,252,852,30452,77.05
"228","2015","01","10",12,547,844,5666,7333,425,121,475,4006,6003,82,67,4515,254,828,30856,75.49
"229","2015","01","10",13,554,839,5580,7368,419,166,474,3769,6003,87,69,5044,250,1346,31449,74.23
"230","2015","01","10",14,560,881,5449,7380,420,9,483,3092,5879,89,71,5107,242,2139,31218,74
"231","2015","01","10",15,565,894,5433,7409,425,0,509,2314,6007,90,73,4900,241,2602,30458,72.86
"232","2015","01","10",16,561,897,5395,7403,420,72,500,2074,6005,88,76,4463,241,3146,29836,69.68
"233","2015","01","10",17,556,894,5288,7314,410,83,481,1941,5997,78,72,4215,240,3812,29781,68.36
"234","2015","01","10",18,564,886,5262,7246,428,83,498,1661,6000,80,76,3756,243,4411,29929,71.77
"235","2015","01","10",19,558,763,5437,6732,428,72,509,1422,6001,85,75,2857,247,4682,29638,77.55
"236","2015","01","10",20,565,709,5800,6632,439,0,518,3529,6002,91,79,1303,254,4400,29950,78.67
"237","2015","01","10",21,577,753,6067,6937,423,0,533,4241,6004,89,77,633,269,4443,32244,78.46
"238","2015","01","10",22,562,869,6088,7119,427,60,523,4240,6005,86,74,510,266,4419,31900,78.1
"239","2015","01","10",23,575,864,5814,7025,429,190,520,2362,6007,87,76,497,263,3976,28690,70.98
"240","2015","01","10",24,578,866,5385,7088,427,300,506,1022,6008,88,74,466,263,3299,26219,62.14
"241","2015","01","11",1,525,0,4827,4352,211,753,711,1549,5041,83,71,26,274,4256,22460,60.35
"242","2015","01","11",2,515,0,4185,3416,211,896,680,1001,5039,83,71,25,268,4802,21033,54.98
"243","2015","01","11",3,510,0,4066,2719,211,1176,681,954,5041,83,70,25,273,5261,19977,53.36
"244","2015","01","11",4,500,0,3994,2553,210,1799,670,726,5042,83,63,25,269,5647,19389,52.62
"245","2015","01","11",5,503,0,3922,2460,194,2226,666,780,5039,84,63,25,264,5907,19126,49.17
"246","2015","01","11",6,499,0,3965,2335,200,2285,647,529,5040,84,64,25,262,6487,19199,47.97
"247","2015","01","11",7,501,0,3945,2187,209,2289,645,521,5041,85,64,23,256,7036,19404,49.1
